"brand","is_high_price","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"VOLVO","TRUE",74,74,1,"100%"
"CADILLAC","TRUE",23,23,1,"100%"
"MASERATI","TRUE",12,12,1,"100%"
"ROLLS-ROYCE","TRUE",11,11,1,"100%"
"ROLLS ROYCE","TRUE",10,10,1,"100%"
"LAMBORGHINI","TRUE",3,3,1,"100%"
"RAM","TRUE",2,2,1,"100%"
"HONGQI","TRUE",1,1,1,"100%"
"PONTIAC","TRUE",1,1,1,"100%"
"LAND ROVER","TRUE",65,66,0.984848484848485,"98.48%"
"BENTLEY","TRUE",36,37,0.972972972972973,"97.3%"
"JEEP","TRUE",15,16,0.9375,"93.75%"
"PORSCHE","TRUE",162,173,0.936416184971098,"93.64%"
"LINCOLN","TRUE",12,13,0.923076923076923,"92.31%"
"LEXUS","TRUE",523,589,0.887945670628183,"88.79%"
"MERCEDES","TRUE",173,227,0.762114537444934,"76.21%"
"LANDROVER","TRUE",94,125,0.752,"75.2%"
"MINI","TRUE",20,29,0.689655172413793,"68.97%"
"MERCEDES BENZ","TRUE",967,1414,0.683875530410184,"68.39%"
"FERRARI","TRUE",2,3,0.666666666666667,"66.67%"
"GMC","TRUE",2,3,0.666666666666667,"66.67%"
"SKODA","TRUE",2,3,0.666666666666667,"66.67%"
"VOLKSWAGEN","TRUE",72,118,0.610169491525424,"61.02%"
"INFINITI","TRUE",7,12,0.583333333333333,"58.33%"
"BMW","TRUE",257,464,0.553879310344828,"55.39%"
"BYD","TRUE",7,13,0.538461538461538,"53.85%"
"AUDI","TRUE",98,197,0.49746192893401,"49.75%"
"JAGUAR","TRUE",12,26,0.461538461538462,"46.15%"
"GAC","TRUE",2,5,0.4,"40%"
"SUBARU","TRUE",18,50,0.36,"36%"
"CITROEN","TRUE",1,3,0.333333333333333,"33.33%"
"FORD","TRUE",863,2713,0.318098046443052,"31.81%"
"CHERY","TRUE",1,4,0.25,"25%"
"INTERNATIONAL","TRUE",1,4,0.25,"25%"
"PEUGEOT","TRUE",54,237,0.227848101265823,"22.78%"
"KIA","TRUE",433,2151,0.201301720130172,"20.13%"
"HYUNDAI","TRUE",381,2136,0.178370786516854,"17.84%"
"TOYOTA","TRUE",750,4318,0.173691523853636,"17.37%"
"HONDA","TRUE",135,931,0.14500537056928,"14.5%"
"SMART","TRUE",1,9,0.111111111111111,"11.11%"
"VINFAST","TRUE",114,1191,0.0957178841309824,"9.57%"
"ACURA","TRUE",1,12,0.0833333333333333,"8.33%"
"MAZDA","TRUE",103,1283,0.0802805923616524,"8.03%"
"THACO","TRUE",1,18,0.0555555555555556,"5.56%"
"ISUZU","TRUE",2,78,0.0256410256410256,"2.56%"
"MITSUBISHI","TRUE",32,1559,0.0205259781911482,"2.05%"
"CHEVROLET","TRUE",10,602,0.0166112956810631,"1.66%"
"MG","TRUE",2,333,0.00600600600600601,"0.6%"
"SUZUKI","TRUE",2,365,0.00547945205479452,"0.55%"
"NISSAN","TRUE",1,244,0.0040983606557377,"0.41%"
